title,group,is_essay,ADJ,ADV,NOUN,VERB
Descartes,0,False,0.13883833788292388,0.12298895274309006,0.3920753714669625,0.34640582347588716
Descartes_2,2,False,0.13883833788292388,0.12298895274309006,0.3920753714669625,0.34640582347588716
Essays_and_Reviews,0,True,0.16602410726378042,0.12061351731857255,0.39942675811239636,0.30925917565798383
Essays_and_Reviews_1,1,True,0.17026787035666716,0.12094864584874944,0.39355922929612697,0.3081081081081081
Essays_and_Reviews_2,2,True,0.16636961465183456,0.12151034742752832,0.4022310958990936,0.30680351545694795
Essays_and_Reviews_3,3,True,0.16278874187037454,0.11914432710533442,0.3999305173561854,0.3134671450997982
Ethics_and_the_Limits_of_Philosophy,0,False,0.1597290327267444,0.11258289857635512,0.38630700694654185,0.3409247757073844
Ethics_and_the_Limits_of_Philosophy_2,2,False,0.1597290327267444,0.11258289857635512,0.38630700694654185,0.3409247757073844
In_the_Beginning_Was_the_Deed,0,False,0.16417845389359895,0.12043676307129002,0.39445712572917385,0.32102298131091833
In_the_Beginning_Was_the_Deed_1,1,False,0.16883368911313798,0.12031826120706385,0.3943604413567634,0.3181549379065642
In_the_Beginning_Was_the_Deed_3,3,False,0.16358949177510435,0.12045175546280383,0.3944694232918367,0.32138984845810536
Making_Sense_of_Humanity,0,False,0.15903007649788561,0.12371117692709736,0.3840573971713204,0.33665953908291757
Making_Sense_of_Humanity_3,3,False,0.15903007649788561,0.12371117692709736,0.3840573971713204,0.33665953908291757
Moral_Luck,0,False,0.15135072996896196,0.12330152891136913,0.3851968428833727,0.3402864402864403
Moral_Luck_2,2,False,0.15135072996896196,0.12330152891136913,0.3851968428833727,0.3402864402864403
Morality,0,False,0.1705282669138091,0.12974976830398516,0.35564531640700137,0.33577004088712675
Morality_1,1,False,0.1705282669138091,0.12974976830398516,0.35564531640700137,0.33577004088712675
Obscenity_and_Film_Censorship,0,False,0.14457337883959046,0.09340817225723645,0.433264887063655,0.3288347147732813
Obscenity_and_Film_Censorship_2,2,False,0.14457337883959046,0.09340817225723645,0.433264887063655,0.3288347147732813
Philosophy_as_a_Humanistic_Discipline,0,False,0.15270860077021822,0.1176379974326059,0.38393640350877195,0.3425661123468559
Philosophy_as_a_Humanistic_Discipline_1,1,False,0.1409070324124992,0.11806948308209872,0.3690567618515674,0.3655241935483871
Philosophy_as_a_Humanistic_Discipline_2,2,False,0.17430486866688646,0.10814375206066601,0.39656365313653136,0.32080341113105926
Philosophy_as_a_Humanistic_Discipline_3,3,False,0.15229265700197822,0.11999173285305147,0.3871710007880221,0.33807146770560664
Problems_of_the_Self,0,False,0.14284449820762093,0.12821042382757755,0.37017422219599627,0.3624382207578254
Problems_of_the_Self_1,1,False,0.14284449820762093,0.12821042382757755,0.37017422219599627,0.3624382207578254
Shame_and_Necessity,0,False,0.13586269596647227,0.11488569084418032,0.4269907089163359,0.32459256627736577
Shame_and_Necessity_3,3,False,0.13586269596647227,0.11488569084418032,0.4269907089163359,0.32459256627736577
The_Sense_of_the_Past,0,False,0.14543733235154893,0.11838770585324973,0.404887054735013,0.32791248093409775
The_Sense_of_the_Past_1,1,False,0.15357315696080012,0.11572153065929,0.39570143285571474,0.3277948056138087
The_Sense_of_the_Past_2,2,False,0.15080685410081518,0.12432762158265402,0.4047886491279929,0.31449575005743163
The_Sense_of_the_Past_3,3,False,0.14165170888769638,0.11490100237310948,0.406005971520441,0.3365777835347236
Truth_and_Truthfulness,0,False,0.145119513499817,0.11458655930628678,0.39655976062670095,0.342468737745632
Truth_and_Truthfulness_3,3,False,0.145119513499817,0.11458655930628678,0.39655976062670095,0.342468737745632
Utilitarianism_For_and_Against,0,False,0.16668968374533905,0.12228333780520526,0.36624902668648684,0.3368319292915343
Utilitarianism_For_and_Against_1,1,False,0.16668968374533905,0.12228333780520526,0.36624902668648684,0.3368319292915343
